#Xing*2025 /1570(750) похожих слов-A2/ сайт: en-ru-dict.github.io/ ютюб: m.youtube.com/@en-ru-dict (пишите там отзывы или на englspace)
# %-похоже, %%-немного-похоже æ=Э ə=э ɛ=е ʊ=у θ=С ð=З w=В ʌ=А Р-амер аи=ай
#(все совпадения случайны, это - вымысел, черный юмор, пародия, сарказм, сказка, прикол, анекдот, фельетон, сочиняли все понемногу в меру своей испорченности, ошибки специально! Кому что не нравиться - сами сочиняйте!)
#(слова почти похожи, интернац, сленг, новояз - можно запомнить по микро ФА)
##====(пока недоделано!! надо лишнее убрать и отфильтровать)
#
abnormal [Эб'нормэл][Эб'но:мэл]|аномальный,ненормальный|аб=не % / abnormal эбнормэл / (аб=не) *неНОРМАЛьный *аномальный|
 equality [и'кВалэти][и:'кВолити]|равенство||
 unequal [э'никВэл][Ан'и:кВэл]|неравный||
 unequality [Ани:'кВолити]|неравенство||
 equally [и:кВэли]|поровну,в-равной-степени|equal икВэл екуал / ЭКВивАЛентный значит *равный и *равняться (equally икВэли в-равной-степени)|
 equalize [икВэ,лаиз][и:кВэлаиз]|уравнивать,уравнять||
 equation [и'кВеижэн][и'кВеишэн]|уравнение||
equip [и'кВип]|оборудовать,оснащать,снаряжать|экипировка / equip икВип екуип / *оснащать *снаряжать ЭКИПировку (equipment икВипмент *оборудование)|
 equipment [и'кВипмэнт]|оборудование|equip икВип екуип / *оснащать *снаряжать ЭКИПировку (equipment икВипмент *оборудование)|
excavate [екскэ,веит]|раскопать,рыть,выкапывать|экскаватор|
 excavation [екскэ'веишэн]|раскопки,земляные-работы||
exclusive [ик'склусив][икс'клу:сив]|эксклюзивный,исключительный|эксклюзивный|
 exclude [ик'склуд][икс'клу:д]|исключать||
 exclusion [ик'склужэн][икс'клу:жэн]|исключение||
exhibit [иг'зибит]|выставка,выставлять,показывать|экцибионист|
 exhibition [ексэ'бишэн][екси'бишэн]|выставка||
expand [ик'спЭнд][икс'пЭнд]|расширять,распространять|экспандер / expand експэнд експанд / *расширяем руки с ЭКСПАНдером в ширину! (extend икстенд простирать тянуть протягивать вытягивать натягивать расширять)|
 expansion [ик'спЭншэн][ик'спЭнчэн][икс'пЭншэн]|расширение|экпансия / expansion икспэншэн експансион / *ЭКСПАНСИЯ это *расширение *растяжение *продолжение *распространение *пространство *протяжение *удлинение|
 expanse [ик'спЭнс][икс'пЭнс]|пространство,простор||
 expansive [ик'спЭнсив][икс'пЭнсив]|экспансивный,обширный||
 extend [ик'стенд][икс'тенд]|продлевать,расширять,удлинять|експэнд / expand експэнд експанд / *расширяем руки с ЭКСПАНдером в ширину! (extend икстенд простирать тянуть протягивать вытягивать натягивать расширять)|
 extension [ик'стеншэн][икс'теншэн]|расширение||
 extensive [ик'стенсив][икс'тенсив]|обширный|экстенсивный путь|
exploitation [екс,плои'теишэн]|использование,эксплуатация|%|
 exploit [екс,плоит][екс'плоит]|использовать,эксплуатировать|экплойт|
