#Xing*2025/750(1600) похожих + 1700(3200) родственных (уровень примерно A2+В1)
#сайт: en-ru-dict.github.io/ютюб: m.youtube.com/@en-ru-dict (пишите там отзывы)
# %-похоже, %%-немного-похоже æ=Э ŋ=Н θ=С ð=З w=В ʌ=А Р-амер аи=ай
# Все совпадения случайны, это - вымысел, черный юмор, пародия, сарказм, сказка, прикол, анекдот, фельетон, сочиняли все понемногу в меру своей испорченности, ошибки специально! Кому что не нравиться - сами сочиняйте или переделайте! 3700 слов примерно тоже самое, но здесь больше ФА + словоформы (сущ,прил,нареч) 2300 слов, но нет имен, названий и расшифровок слов. Слова частые из списков 7700+3000+5000 из разных источников + амер.тр и гугл перевод. 
#(ещё до конца недоделано, но учить можно 1500 слов 2 уровня сложности)
#
AM-PM[ей'ем-пи'ем]|до-после полудня|время 0-12ч|
reproduce[рипрэ'дус][ри:прэ'дью:с]|воспроизводить|~РЕПРОДУкЦия/=пере + производить/~РЕПРОДУктивные органы| reproduction[рипрэ'дэкшэн][ри:прэ'дАкшэн]воспроизводство,воспроизведение =репродукция// reproducible[ри:прэ'дью:сэбл]воспроизводимый/-able прил
reserve[ри'зэРв]|бронировать/2,запас,запасной,запасать|*РЕЗЕРВ % *РЕЗЕРВный *бронировать *запасать *запасной *запас/*заказать еду для пополнения ~РЕЗЕРВа в холодильнике| reservation[резэр'веишэн][резэ'веишэн]бронирование =резервирование резервация?// reserved[ри'зэрвд][ри'зэ:вд]сдержанный,скрытный,замкнутый/у *замкнутых людей *запасной РЕЗЕРВ Денег *скрытно заРЕЗЕРВирован на черный день и спрятан
resident[резидэнт]|житель,резидент|%/~президент|residential~резиденшэл жилой// reside[ри'заид]проживать(где-то)/с=з, РЕЗИДент *живёт в РЕЗИДенции/=пере+сторона// residence[резидэнс]место-проживания,резиденция %
resist[ри'зист]|сопротивляться|РЕЗИСТор *сопротивляется току и *сдерживает электроны от восстания|resistance~ризистэнс сопротивление/-nce сущ// irresistible[ири'зистэбэл][ири'зистэбл]неотразимый,непреодолимый/ir=без сопротивления?
resolution[резэ'лу:шэн]|разрешение,решение,решимость|*РЕЗОЛЮЦия % *четкость *резкость экрана|resolute[резэ,лут][резэлу:т]решительный,твёрдый написал РЕЗОЛЮЦию и сделал революцию, ураа!!
respondent[ри'спандэнт][рис'пондэнт]|ответчик,тот-кто-отвечает|е=и, ~РЕСПОНДЕНТ| respond[ри'спанд][рис'понд]отвечать/е=и, РЕСПОНДенты *отвечают на вопросы коРЕСПОНДентам/ *отзываться//response[ри'спанс][рис'понс]ответ,отклик/*отвечай и не вРИ, что СПОНСор ложки вилка//responsive[ри'спансив][рис'понсив]отзывчивый сайт// responsible[ри'спансэбэл][рис'понсэбл]ответственный РЕСПОНдент БЫЛ да сплыл// irresponsible[ирэ'спансэбэл][ирис'понсэбл]безответственный/ir=не// responsibility[ри,спансэ'билэти][рис,понсэ'билити]ответственность,обязанность/был РИСк,что они ПОНЕсут *ответственность за фальшивые БИЛЕТЫ, но их похвалили и наградили
rest[рест]|остаток,остальное/2,отдых,отдыхать/3,покоиться|в РЕСТоран *отдыхать бегут(run~ран) бездельники/в РЕСТоране *отдохнул, провел *остаток дня и устал как собака/ *оставшихся аРЕСТованных отпустили на все четыре стороны (по частям)/вы аРЕСТованы! в камере вас ждет *отдых и *покойник (умер от пыток)|arrest~эрест АРЕСТовать задерживать тормозить//unrest[эн'рест][Ан'рест]беспокойство,беспорядки/un=не + отдых и покой
restoration[рестэр'еишэн][рестэ'реишэн]|восстановление|+в, ~РЕСТАвРАЦИя| restore[ри'стоР]восстановить при РЕСТАвРации/е=и, в РЕСТОРане я *восстанавливаю свою энергию и заряжаю патроны, будем уходить по крышам
result[ри'зэлт][ри'зАлт]|результат|е=и %%/*исход *вывод *итог| result-in[ри'зэлт-ин][ри'зАлтин]привести-к/=результат+в
retail[ри,теил][ри:теил]|розничная-торговля-продажа|=пере + хвост/РИТЕЙЛер это розничный-продавец|tail~тейл очередь хвост
retrospective[ретрэ'спектив][ретрэу'спектив]|ретроспективный,ретроспектива|%| retrospect[ретрэ,спект][ретрэуспект]ретроспектива % взгляд-в-прошлое
reverse[ри'вэРс]|обеспечить-регресс,обратный,обратить|~РЕВЕРС это *обратный ход| revert~ривёРт возвращаться повернуть-назад пере-ВЕРТайся// reversal[ри'вэРсэл]разворот,обращение,обратный-ход =реверсия// reversible[ри'вэрсэбэл][ри'вэ:сэбл]обратимый/-able прил// irreversible[ири'вэрсэбэл][ири'вэ:сэбл]необратимый/ir=не
