#Xing*2025 /3234(1700)родственных слов-В1/ сайт: en-ru-dict.github.io/ ютюб: m.youtube.com/@en-ru-dict (пишите там отзывы или на englspace)
# %-похоже, %%-немного-похоже æ=Э ə=э ɛ=е ʊ=у θ=С ð=З w=В ʌ=А Р-амер аи=ай
#(все совпадения случайны, это - вымысел, черный юмор, пародия, сарказм, сказка, прикол, анекдот, фельетон, сочиняли все понемногу в меру своей испорченности, ошибки специально! Кому что не нравиться - сами сочиняйте!)
#(слова имеют родственные в русском, можно запомнить по ФА, но не всё и не всем)
##====(пока недоделано!! надо лишнее убрать и отфильтровать)
#
abide [э'баид]|соблюдать,смириться,выносить|обиделся / abide эбайд абиде / не смог *вынести что на обиженных воду возят и АБИДЕлся|
fat [фЭт]|толстый,жир,жирный|невеста и фата / fat фэт фат / ФАТа в *жирных пятнах на *жирной невесте с бородой|
 fatness [фЭтнэс]|упитанность||
 fatten [фЭтэн][фЭтн]|откармливать||
fault [фо:лт]|вина,ошибка / 2,недостаток,неисправность|дефолт / fault фолт фаулт / деФОЛТ это *вина *недостаток *небрежность *провинность правительства (фол-падать)|
 faulty [фо:лти]|ошибочный,неисправный||
 faultless [фо:лтлис]|безупречный||
fear [фир][фиэ]|страх,бояться|мафия / fair фер, феа фаир / *светлые ФАРЫ ФЕРари светят далеко(far) / *ярмарка ФЕРмеров и ФЕЙ *справедливая и *честная (fare фер, феэ плата-за-проезд)(fear фир, фиэ страх)(хеа из феа светлые волосы) / fear фир, фиэ феар / маФИЯ наводит *страх на ФИРмы / ехал на ФЕРАри 500 км в час и сорвался в пропасть, было *страшно пока не разбился / ФИАлетова деваха (из люди икс) наводит *страха (виоленс жестокость насилие)|
 fearful [фирфэл][фиэфул]|пугливый,напуганный,пугающий||
 fearless [фирлэс][фиэлис]|бесстрашный||
feast [фи:ст]|праздник,пир|фестиваль фист-кулак / feast фист феаст / *праздник *пир на ФЕСТивале (first фёст первый)(fist фист кулак устроил *пир и его раскулачили)|
 festive [фестив]|праздничный||
 festivity [фе'стивэти][фес'тивити]|праздник,торжества||
feat [фи:т]|подвиг,свершение|пойти на фитнес и купить фиат / ФИАТ (жигули) купить это *подвиг(feat фит искусный ловкий) / feat фиит феат / ты совершил *подвиг когда записался на ФИТнес и купил ФИАТ (fit подходящий) / fit фит / (fit, fit) ФИТнес придает *подтянутую *форму тела / когда пойдешь на ФИТнес, то вся одежда, которую ты выбросила *будет-в-пору / *приступ *припадок (feat подвиг)|
feather [феЗэр][феЗэ]|перо|фазер-отец чудо в перьях / father фаЗэР фаТХер / *отец нашел ФАЗу и сунул два пальца в розетку / *папа спер с работы гиперФАЗЕР, ФАЗОРы и антигравы и продал китайцам (feather фезэр *перья)(further фэрзэр *дальше)|
 feathering [феЗэриН][феЗриН]|оперение||
feature [фичэр][фи:чэ]|черта,особенность|фича / feature фичеР феатуре / *особенность *черта это ФИЧА (сленг)|
 featured [фичэрд][фи:чэд]|избранный,напоминающий,похожий||
fee [фи:]|платеж,плата,гонорар|фиговая / fee фи фее / ФИговое *вознаграждение получил ты за адский труд (файн-штраф)|
feed [фи:д]|кормить|(fed, fed) / фидель из кастрюли / ФИДель кастро *кормил партизан обещаниями из кастрюли (feed фид)(food фуд еда) / ФАСТфуд - *быстрая(fast фаст) + *еда(food фуд)(feed фид кормить) / fast фаст / ФАСТфуд это *быстрая(фаст) + еда(food фуд)(feed фид кормить) / feed фиид феед / *кормили тебя быстро фастФУДом едой(food) / food фуд фоод / фастФУД это быстрая(фаст) + *еда(фуд)(feed фид кормить)|
 fed-up(with) [федАп]|надоело-(с),сыт-по-горло||
 feed-on [фид-он][фи:дон]|питаться||
 feedback [фид,бЭк][фи:дбЭк]|обратная-связь|кормить назад завтраками что исправят / feedback фидбэк феедбацк / *обратная-связь = кормить назад|
feel [фи:л]|чувствовать,трогать,щупать|(felt, felt) / чувствовать, филя трогал степашку / feel фил феел / ФИЛантроп *чувствует что он труп / штирлиц шёл по лесу и вдруг *почувствовал на себе чей-то взгляд, ФИЛин - подумал штирлиц, сам ты ФИЛин- подумал мюллер / ФИЛософ *чувствует что пора на пароход (fill наполнять)|
 feel-for [фил-фор][фэр][фрэр][фи:лфо:]|чувствовать,сочувствовать||
