g_fa=`# список самых важных 2801(8370) английских слов в порядке частоты, их знать обязательно! Перевод от гугл, тр не у всех, ФА смотрите в 3700 и для Anki
1. the [Зэ][Зэ][Зи] | (артикль)-этот
1008. stick [стик] | палка
sticking [стикиН] | прилипание
sticks [стикс] | палочки
stuck [стэк] | застрявший
1009. request [ри'кВест][ри'кВест] | запрос
requested [ри'кВестид][ри'кВестид] | запрошено
requesting [ри'кВестиН][ри'кВестиН] | запрашивающий
requests [ри'кВес][ри'кВестс][ри'кВес][ри'кВестс] | запросы
1010. rich [рич] | богатый
richer [ричэр] | богаче
richest [ричэст] | самый-богатый
1011. wind [Ваинд][Винд] | ветер
winded [Ваиндид][Виндид] | запыхавшийся
winding [ВаиндиН] | обмотка
winds [Ваиндз][Виндз] | ветры
1012. none [нэн] | нет
1013. exchange [икс'чеиндж] | обмен
exchanged [икс'чеинджд] | обменяли
exchanges [икс'чеинджэз][икс'чеинджиз] | обмены
exchanging [икс'чеинджиН] | обмен
1014. budget [бэджит] | бюджет
budgeted [бэджитэд][бэджитид] | бюджетный
budgeting [бэджитиН] | бюджетирование
budgets [бэджитс] | бюджеты
1015. famous [феимэс] | знаменитый
1016. blood [блэд] | кровь
blooded [блэдид] | кровный
blooding [??] | кровопускание
bloods [блэдз] | крови
1017. appropriate [э'проупри,еит][э'проуприэт] | соответствующий
appropriated [э'проупри,еитид] | присвоенный
appropriates [э'проупри,еитс] | присваивает
appropriating [э'проупри,еитиН] | присваивающий
1018. block [блак] | блок
blocked [блакт] | заблокирован
blocking [блакиН] | блокировка
blocks [блакс] | блоки
1019. warm [Ворм] | теплый
warmed [Вормд] | согретый
warmer [Вормэр] | теплее
warmest [Вормэст] | самый-теплый
warming [ВормиН] | потепление
warms [Вормз] | согревает
1020. count [каунт] | количество
counted [каунэд][каунид][каунтид] | подсчитано
counting [кауниН][каунтиН] | подсчет
counts [каунтс] | имеет-значение
1021. scene [син] | сцена
scenes [синз] | сцены
1022. writer [раитэр] | писатель
writers [раитэрз] | писатели
1023. content [кантент][кэн'тент] | содержание
contented [кэн'тентэд][кэн'тентид] | довольный
contenting [??] | довольствуясь
contents [кантентс][кэн'тентс] | содержание
1024. prevent [при'вент][при'вент] | предотвратить
prevented [при'венид][при'вентид][при'венид][при'вентид] | предотвращено
preventing [при'вениН][при'вентиН][при'вениН][при'вентиН] | предотвращение
prevents [при'вентс][при'вентс] | предотвращает
1025. safe [сеиф] | безопасный
safer [сеифэр] | безопаснее
safest [сеифэст] | самый-безопасный
1026. invite [ин'ваит] | пригласить
invited [ин'ваитэд][ин'ваитид] | приглашен
invites [ин'ваитс] | приглашает
inviting [ин'ваитиН] | приглашающий
1027. mix [микс] | смешивать
mixed [микст] | смешанный
mixes [миксэз][миксиз] | смеси
mixing [миксиН] | смешивание
1028. element [елэмэнт] | элемент
elements [елэмэнтс] | элементы
1029. effective [ифектив][и'фектив] | эффективный
1030. correct [кэр'ект] | правильно
corrected [кэр'ектэд][кэр'ектид] | исправлено
correcting [кэр'ектиН] | исправление
corrects [кэр'ектс] | исправляет
1031. medical [медэкэл][медикэл] | медицинский
medicals [??] | медицина
1032. admit [эд'мит] | признать
admits [эд'митс] | признает
admitted [эд'митид] | допущенный
admitting [Эд'митиН][эд'митиН] | признавая
1033. beat [бит] | бит
beaten [битэн] | избитый
beating [битиН] | избиение
beatings [битиНз] | избиения
beats [битс] | бьет
1034. telephone [телэ,фоун] | телефон
telephoned [телэ,фоунд] | позвонил
telephones [телэ,фоунз] | телефоны
telephoning [телэ,фоуниН] | телефонный-звонок
1035. copy [капи] | копия
copied [капид] | скопировано
copies [капиз] | копии
copying [капииН] | копирование
1036. committee [кэ'мити] | комитет
committees [кэ'митиз] | комитеты
1037. aware [э'Вер] | осведомленный
1038. advice [Эд'ваис][эд'ваис] | совет
advices [??] | советы
1039. handle [хЭндэл] | ручка
handled [хЭндэлд] | обработано
handles [хЭндэлз] | ручки
handling [хЭндэлиН][хЭндлиН] | умение-обращаться
1040. glass [глЭс] | стекло
glassed [глЭст] | застекленный
glasses [глЭсэз][глЭсиз] | очки
glassing [??] | остекление
1041. trial [траиэл][траил] | испытание
trialed [??] | испытанный
